ISO3,Country,hdicode,region,hdi_rank_2021,co2_prod_1990,co2_prod_1991,co2_prod_1992,co2_prod_1993,co2_prod_1994,co2_prod_1995,co2_prod_1996,co2_prod_1997,co2_prod_1998,co2_prod_1999,co2_prod_2000,co2_prod_2001,co2_prod_2002,co2_prod_2003,co2_prod_2004,co2_prod_2005,co2_prod_2006,co2_prod_2007,co2_prod_2008,co2_prod_2009,co2_prod_2010,co2_prod_2011,co2_prod_2012,co2_prod_2013,co2_prod_2014,co2_prod_2015,co2_prod_2016,co2_prod_2017,co2_prod_2018,co2_prod_2019,co2_prod_2020,co2_prod_2021
AZE,Azerbaijan,High,ECA,91,7.094034996,6.799993694,7.518061608,6.384551649,5.458809731,4.283920723,3.977097475,3.760213019,3.963226096,3.54722536,3.632554577,3.512291489,3.581077873,3.662482256,3.79658007,4.015456857,4.531626696,3.491317241,4.018398361,3.56958931,3.391423445,3.605369399,3.783007573,3.752045183,3.889761238,3.843892777,3.805930192,3.730696412,3.703418561,3.854118915,3.720272365,3.720272365
BDI,Burundi,Low,SSA,187,0.038398906,0.042796616,0.038022606,0.039180394,0.039752723,0.039779237,0.03990356,0.04069662,0.040279283,0.040340673,0.042505954,0.031442584,0.031698451,0.023334261,0.027743763,0.020895164,0.024080394,0.025631457,0.02570113,0.020069857,0.034208577,0.039531586,0.041009138,0.041717805,0.038084987,0.038471343,0.044569053,0.048988554,0.060787227,0.06105764,0.050642582,0.050642582
BEL,Belgium,Very High,,13,12.0229222,12.2893646,12.15555391,12.00145395,12.28916851,12.36382574,12.68382758,12.12696193,12.71907756,12.15980053,12.32443039,12.21680084,12.23983672,12.30923372,12.28810709,11.91259676,11.66573677,11.26232195,11.14981893,9.918268425,10.47138066,9.535781892,9.236138337,9.20319322,8.632537731,8.952519237,8.795878609,8.708432095,8.72893627,8.643986894,7.226205719,7.226205719
BEN,Benin,Low,SSA,166,0.126672794,0.142388609,0.147828042,0.173431927,0.192222211,0.18922852,0.188833458,0.190189217,0.172156782,0.219369523,0.214522358,0.238683585,0.289237291,0.31832757,0.334657892,0.311905515,0.407830353,0.464943376,0.450619248,0.472290431,0.508671405,0.473499632,0.452501524,0.456390471,0.466226571,0.503557505,0.607088094,0.620812267,0.631656265,0.619863266,0.552890326,0.552890326
BFA,Burkina Faso,Low,SSA,184,0.066119368,0.069230297,0.067785559,0.065589278,0.065690849,0.061855059,0.067937658,0.075383858,0.078308106,0.081151667,0.088706508,0.082973986,0.081452197,0.084909694,0.084424556,0.083601986,0.09808972,0.111619257,0.118007655,0.120797052,0.130494821,0.132502893,0.158038743,0.167740647,0.165557548,0.182042319,0.181316919,0.20516605,0.2177408,0.213366436,0.189903275,0.189903275
BGD,Bangladesh,Medium,SA,129,0.136486702,0.139603427,0.142427972,0.145562365,0.155564666,0.182701335,0.182684338,0.192458318,0.189087608,0.200296109,0.207778834,0.23856722,0.241407473,0.248229854,0.26240117,0.270985458,0.295833485,0.298906404,0.313926486,0.336804306,0.36585765,0.378877944,0.401913864,0.404432617,0.426997915,0.468955244,0.48410228,0.506893478,0.511845241,0.577842492,0.563737615,0.563737615
BGR,Bulgaria,High,,68,8.674892761,7.016916507,6.611653689,6.812691362,6.655464077,6.915881359,7.055126828,6.801919771,6.534413413,5.749363022,5.684664221,6.176236835,5.867657975,6.475061479,6.402512088,6.589898584,6.800434857,7.356844799,7.187463409,6.130276351,6.445878577,7.20679257,6.59131173,5.854579533,6.240561573,6.705185645,6.362234204,6.699426282,6.188304852,6.031683176,5.388845994,5.388845994
BHR,Bahrain,Very High,AS,35,25.01517348,23.25918079,20.78740398,27.24417672,26.84671833,26.23129092,26.94127528,29.06034481,29.92732606,28.26008065,28.27834628,20.18192375,21.58482805,21.53502982,21.55043599,22.27271909,20.2637054,25.84285065,26.62857368,23.70995615,23.43165224,22.2724858,20.78466457,23.57326232,23.06577101,23.66882409,22.00377054,21.81361591,20.77771392,20.98445501,20.54572969,20.54572969
BHS,Bahamas,Very High,LAC,55,7.893514634,7.650723349,7.024046251,6.434155141,6.415536205,6.564614682,6.386762355,5.59754731,6.846595113,6.915208357,6.798165415,6.429227607,6.621595268,6.61133271,6.422823885,5.865006049,5.600650086,5.549380685,5.575810126,5.575451082,5.357495027,5.879391954,6.358915684,7.36445615,6.554192422,5.708353153,5.235361046,5.489908449,7.002440119,6.772585126,5.944655227,5.944655227
BIH,Bosnia and Herzegovina,High,ECA,74,4.327217026,3.120234526,3.549799276,3.084283969,0.814170065,0.888471031,1.126201213,2.239197874,2.825294021,2.760438901,3.65277449,3.531555751,3.769923128,3.816438,4.107785093,4.261511139,4.617487964,4.643979222,5.316238492,5.497173668,5.706614434,6.490074908,6.139908992,6.1539443,5.546013116,5.383072823,6.418279013,6.51020058,6.641244914,7.527082702,6.528247977,6.528247977
BLR,Belarus,Very High,ECA,60,10.22127183,9.524882743,8.750825017,7.55343273,6.183547743,5.706512895,5.811593261,5.886430287,5.756918239,5.532031691,5.541758445,5.582322035,5.600639365,5.79642916,6.218454399,6.392599608,6.717966376,6.677158361,6.922702189,6.471283406,6.663585467,6.545598025,6.655399156,6.710591578,6.638099989,6.148416063,6.336402932,6.361294237,6.449198143,6.455760335,6.07931383,6.07931383
BLZ,Belize,Medium,LAC,123,1.660552807,2.127893349,1.828955765,1.909655808,1.853084094,1.82346603,1.440485997,1.752775521,1.607251438,1.456474802,1.600024261,1.75254741,1.64781346,1.604713742,1.417881839,1.484707541,1.521784649,1.592910292,1.421079906,1.641861722,1.670294979,1.675342254,1.333343195,1.271799025,1.327207485,1.776506997,1.690770901,1.638107454,1.578193076,1.686627232,1.465666402,1.465666402
BOL,Bolivia (Plurinational State of),Medium,LAC,118,0.834294511,0.851806323,0.924559973,1.065480627,1.150935884,1.285694757,1.296536036,1.418086244,1.388987522,1.298475754,1.026434904,0.966418752,0.958924667,1.121131646,1.123084816,1.2105318,1.229074171,1.324745599,1.394205023,1.439526075,1.535140751,1.663808532,1.713187037,1.811157009,1.934961669,1.957518724,2.066341945,2.105075068,2.101250914,2.071353502,1.773319863,1.773319863
BRA,Brazil,High,LAC,87,1.467471613,1.512673978,1.514339031,1.557586459,1.593161092,1.658302509,1.757504166,1.835720126,1.86917886,1.899132523,1.946234557,1.953576235,1.937004588,1.895640665,1.964246031,1.957646115,1.960334714,2.054237048,2.148816446,2.010325546,2.249557114,2.342004844,2.500455385,2.648372595,2.751483094,2.58888062,2.390088781,2.40941389,2.309098502,2.301796677,2.198836949,2.198836949
BRB,Barbados,High,LAC,70,4.101005611,4.589450373,3.702897834,4.170551096,2.787918141,3.032994304,3.079996555,3.312017361,4.082261562,4.298375676,4.241386295,4.353027523,4.387309134,4.53943987,4.61160111,4.774123037,4.839320016,4.889845712,5.759325013,5.681527122,5.189078832,5.358903413,5.143090789,5.055294482,4.427966548,4.420939003,4.490615684,4.086894547,4.31026964,4.234125947,3.781470204,3.781470204
BRN,Brunei Darussalam,Very High,EAP,51,23.91958906,19.9297547,19.02282652,17.62525694,16.2025745,16.10560256,15.56453572,15.80885888,16.16480335,11.65874743,13.77995888,12.90900322,12.26678432,12.65295378,13.55774233,13.33693038,12.79522934,22.16206846,23.6979503,20.17603267,20.74072549,24.24432546,23.79388905,18.86252198,21.78178437,16.7611055,17.97070033,22.50319808,22.3618354,22.98279423,23.22054316,23.22054316
BTN,Bhutan,Medium,SA,127,0.241595768,0.328169657,0.382981987,0.323134233,0.378983149,0.441921365,0.523893511,0.68046742,0.652666569,0.643644626,0.647828081,0.611308064,0.650971238,0.574080298,0.455264826,0.583393322,0.569492402,0.56159344,0.597784736,0.544209764,0.677925552,0.962688483,1.101398128,1.200697795,1.319064606,1.325830224,1.569549944,1.661563141,1.903397191,2.525907754,2.495308499,2.495308499
BWA,Botswana,Medium,SSA,117,2.09861077,1.986244668,2.03680969,2.283594571,2.112953512,2.07245704,1.831092621,1.817225766,2.12054138,1.961417507,2.298741461,2.297277447,2.332102576,2.205491473,2.206026869,2.27488747,2.25120213,2.254541422,2.350703864,1.973587892,2.283372041,1.999004666,2.489120181,2.745681555,3.279776388,2.558051149,2.932275026,3.201244399,3.354557183,3.005950869,2.772080776,2.772080776
CAF,Central African Republic,Low,SSA,188,0.065271593,0.066190517,0.065621667,0.064954144,0.066618501,0.064806793,0.064236709,0.06372412,0.063254354,0.06487608,0.06441552,0.065956156,0.063601225,0.057585565,0.055516904,0.05353134,0.055164204,0.054985576,0.038583168,0.037167805,0.038420085,0.042289059,0.042946829,0.026360494,0.027906612,0.039958426,0.043603722,0.047036318,0.047111587,0.044348113,0.038906639,0.038906639
CAN,Canada,Very High,,15,16.62982808,16.12471812,16.42269994,16.25311182,16.57155012,16.83407081,17.21103774,17.52645097,17.61993917,17.94339513,18.52181268,18.10365539,18.1109897,18.49411561,18.25396142,17.90345939,17.56185353,18.05803407,17.37876871,16.1977388,16.36438839,16.49924945,16.30096246,16.25368648,15.99814964,15.90658544,15.37992637,15.50035194,15.62986503,15.56731625,14.19693746,14.19693746
CHE,Switzerland,Very High,,1,6.636656552,6.866108196,6.773065901,6.347552479,6.150655445,6.205785102,6.265770564,6.088583333,6.291052868,6.24676477,6.105691386,6.279612585,6.020115016,6.143326162,6.176682751,6.198638222,6.083903932,5.754040543,5.865807422,5.643644757,5.769147775,5.183437646,5.276540545,5.325730637,4.780793375,4.668199391,4.676955631,4.515537494,4.324335229,4.276607966,3.731913422,3.731913422
CHL,Chile,Very High,LAC,42,2.477757749,2.29339076,2.330810632,2.434812004,2.648298714,2.856031062,3.263857707,3.748977088,3.791428249,4.01576226,3.786609525,3.387336764,3.472932898,3.461539723,3.685682603,3.764910734,3.910195014,4.276005213,4.237138306,3.902627864,4.179390449,4.529785345,4.579425916,4.655884097,4.368150183,4.553558495,4.634613919,4.550297911,4.506838534,4.544593041,4.24621503,4.24621503
CHN,China,High,EAP,79,2.111385224,2.184677788,2.263000045,2.397120214,2.520285785,2.705982217,2.798923313,2.781442466,2.641904111,2.614359207,2.664871691,2.705606422,2.962166684,3.455486758,3.948163661,4.415884884,4.848148444,5.184727852,5.538564727,5.79393916,6.294992606,6.922318956,7.062257329,7.150558948,7.135342533,7.000344465,6.874190136,6.981215392,7.207652756,7.31629792,7.411735759,7.411735759
CIV,C̫te d'Ivoire,Medium,SSA,159,0.400968496,0.348548628,0.299982337,0.383750527,0.300900598,0.430676232,0.500186599,0.463476055,0.422350705,0.370464554,0.392794312,0.438947878,0.403788658,0.291659872,0.408185774,0.408428139,0.363179446,0.340958698,0.336205493,0.274902019,0.295325319,0.301607497,0.38702498,0.431302695,0.43001748,0.40495316,0.49524584,0.485336657,0.408943554,0.407508101,0.381780097,0.381780097
CMR,Cameroon,Medium,SSA,151,0.221118891,0.219840117,0.216992697,0.222775183,0.214730817,0.235566384,0.25724344,0.220113021,0.212988958,0.198304831,0.215676928,0.208790181,0.203287744,0.220149379,0.22314318,0.202516042,0.205913473,0.304485538,0.281831098,0.333199949,0.327511974,0.311904668,0.286680197,0.229665828,0.30199474,0.332478223,0.326632953,0.31337935,0.314558852,0.285897796,0.259524431,0.259524431
COD,Congo (Democratic Republic of the),Low,SSA,179,0.122760811,0.08723902,0.075218473,0.068587989,0.042188186,0.050596213,0.054051661,0.042790798,0.036911956,0.028691444,0.018951584,0.015894964,0.01704535,0.020168951,0.021658644,0.026375398,0.027434674,0.029022979,0.029969611,0.02712632,0.030386972,0.036543995,0.03413901,0.049573418,0.062777013,0.036628195,0.025563172,0.030392353,0.033064864,0.030980325,0.027660353,0.027660353
COG,Congo,Medium,SSA,153,0.427667576,0.447012247,0.517760985,0.453303738,0.671872418,0.437999555,0.480793737,0.669868307,0.12041074,0.119383906,0.180663814,0.237972636,0.173771224,0.268864388,0.270328629,0.274952212,0.301056756,0.312477506,0.33154796,0.415907691,0.459036846,0.509642663,0.652853677,0.693957422,0.654911488,0.710776869,0.743305154,0.697595924,0.690742186,0.611708039,0.564833429,0.564833429
COL,Colombia,High,LAC,88,1.718830031,1.678225441,1.786464572,1.804944391,1.867799413,1.613758358,1.612101524,1.709703158,1.698393681,1.404152379,1.419602458,1.389580332,1.356083469,1.376291589,1.296923623,1.408272137,1.43525955,1.375908042,1.506047625,1.621376814,1.686728125,1.666123992,1.730351766,1.880352145,1.888512905,1.935271658,1.935483121,1.76438528,1.709196713,1.796191905,1.751176049,1.751176049
COM,Comoros,Medium,SSA,156,0.160235572,0.155594142,0.159505829,0.163107591,0.158519675,0.161853116,0.164968371,0.167888229,0.177731211,0.180134935,0.189155851,0.191153614,0.186591604,0.232454463,0.245400417,0.23363913,0.263207886,0.165612045,0.167247641,0.201365908,0.233756517,0.202244933,0.212593128,0.247065091,0.212301979,0.230942189,0.271722189,0.328630826,0.352171395,0.359437104,0.29721677,0.29721677
CPV,Cabo Verde,Medium,SSA,128,0.281887853,0.28572914,0.298687025,0.300284385,0.301747842,0.313008046,0.361284646,0.362539857,0.381926432,0.435721557,0.504871692,0.53820325,0.620384648,0.684061965,0.722180734,0.949567201,1.007438668,1.064349766,0.975351571,1.069079522,1.130468848,1.233920743,0.993537661,0.966569483,0.940260983,0.935658027,1.014052633,1.077045868,1.098319685,1.095129424,0.98910586,0.98910586
CRI,Costa Rica,Very High,LAC,58,0.933823551,1.026799726,1.138559936,1.153782969,1.503338986,1.35404145,1.290179778,1.321932621,1.375987247,1.399536216,1.361280566,1.404684198,1.522924706,1.580791599,1.619277873,1.568871045,1.612436289,1.807348997,1.790203053,1.713834461,1.636875958,1.577954737,1.548656143,1.609305737,1.615778968,1.527702028,1.617134535,1.679126715,1.644623869,1.746962543,1.552260862,1.552260862
CUB,Cuba,High,LAC,83,2.797814133,2.545565474,1.918066105,1.837263676,1.972816807,2.097223687,2.132953199,2.257470883,2.200804226,2.207291692,2.316601102,2.258544747,2.278963871,2.310292743,2.24181171,2.170396664,2.192740982,2.15447846,2.501412525,2.529352101,3.046526975,2.619201007,2.642064957,2.483797573,2.426995047,2.588217821,2.485870443,2.223038658,1.994023002,1.987447283,1.779198659,1.779198659
CYP,Cyprus,Very High,,29,6.067843703,6.564988431,6.889613058,7.034293908,7.168233565,6.865111886,7.124154047,7.08064498,7.271140594,7.422849405,7.548367946,7.283635122,7.352983324,7.623270995,7.720346632,7.740871999,7.826442099,7.992381404,8.056950913,7.712167477,7.279806437,6.921916409,6.397714278,5.753733392,6.031233592,6.003867406,6.300702366,6.377248707,6.172131527,6.123855412,5.380504059,5.380504059
CZE,Czechia,Very High,,32,15.87899477,14.39067228,13.9685607,13.38338149,12.77587067,12.70496698,13.03870252,12.64468112,12.1385258,11.3147341,12.35521348,12.36726717,12.08905041,12.44376479,12.51720919,12.25156502,12.28257511,12.38780876,11.7977901,10.98751878,11.16150516,10.89929633,10.51756151,10.06238775,9.828518414,9.891583156,10.04678752,10.11300218,9.950760744,9.431221712,8.215039321,8.215039321
DEU,Germany,Very High,,9,13.31339354,12.75901178,12.07922889,11.887968,11.62662938,11.57239239,11.79424601,11.44143452,11.34307592,11.00718889,11.05457432,11.25358846,11.03783717,11.04158238,10.86500196,10.62093245,10.7806113,10.47794091,10.54609473,9.768789629,10.30533212,10.00816987,10.05259086,10.24281224,9.730928443,9.727783167,9.741451444,9.507597709,9.072082766,8.518354547,7.690141865,7.690141865
DJI,Djibouti,Low,AS,171,0.465448731,0.470944757,0.488493693,0.485775956,0.470976885,0.494044937,0.455399951,0.498983904,0.565379749,0.549619629,0.510602243,0.499853345,0.534686763,0.554683067,0.527084524,0.528602471,0.516472577,0.573169566,0.610393969,0.553258366,0.614878874,0.553677399,0.561328454,0.630243872,0.432082075,0.489216001,0.429991217,0.427264514,0.405381871,0.413328403,0.355728745,0.355728745
DMA,Dominica,High,LAC,102,0.832502592,0.833034928,0.831027444,0.879388968,0.928339175,1.133759037,1.033043871,1.141772546,1.096302629,1.154263621,1.472936109,1.577927391,1.468992082,1.672610556,2.030348669,2.024394736,2.020701943,2.587753372,2.327925791,2.275479527,2.42966788,2.170032151,2.323398859,2.373267996,2.474080326,2.470674178,2.517845373,2.256150466,2.250890052,2.191399287,1.934403912,1.934403912
DNK,Denmark,Very High,,6,10.42057997,12.45195841,11.28842826,11.67956335,12.41309807,11.77253672,14.24429956,12.40143691,11.54994765,11.01803647,10.16471223,10.42899466,10.33686154,11.25425286,10.19406559,9.500061051,10.91581155,9.992100434,9.316537792,8.833256007,8.851823742,7.919644319,7.100497014,7.404190563,6.628195776,6.188361303,6.480325401,6.060962892,6.027753912,5.353077578,4.522442415,4.522442415
DOM,Dominican Republic,High,LAC,80,1.252682066,1.311934446,1.40627957,1.485305103,1.535248546,1.93202747,2.072789042,2.135679216,2.165483017,2.136005695,2.241869952,2.22647847,2.40104986,2.411778019,1.931395416,1.972077957,2.073169647,2.140828523,2.149676335,2.06549475,2.119983856,2.172367434,2.140265812,2.116491737,2.144634287,2.285093487,2.370187909,2.284472787,2.418157433,2.562650864,2.559875589,2.559875589
DZA,Algeria,High,AS,91,2.979074896,2.9850519,2.955540051,2.96517,3.053384492,3.302806527,3.307078543,2.925218083,3.531343977,2.993403151,2.648681707,2.663789095,2.806673805,2.821967423,2.687292364,3.211875912,2.978594395,3.172710183,3.139363411,3.401403882,3.274634073,3.267942657,3.426892784,3.472326643,3.661746681,3.76769044,3.67259156,3.743383327,3.824120009,3.870617401,3.534590875,3.534590875
ECU,Ecuador,High,LAC,95,1.608631235,1.542825359,2.049219452,2.197561895,1.208029871,1.980427411,2.052853354,1.523363019,1.829207959,1.717103563,1.621481,1.776282733,1.883308549,2.000556782,2.11715788,2.167642966,2.055182503,2.35619667,2.034509563,2.199963938,2.319987247,2.453338008,2.401044171,2.505959902,2.708584088,2.514146911,2.395471598,2.339896056,2.219539066,2.115714004,1.753199871,1.753199871
EGY,Egypt,High,AS,97,1.339951964,1.346041046,1.36260851,1.54103183,1.383987025,1.522288771,1.471168294,1.656789014,1.83482336,1.843962234,2.039031194,1.771760304,1.759562486,2.011129335,2.010774325,2.185327073,2.289719172,2.376354952,2.445675408,2.504100645,2.426758131,2.520152432,2.415099317,2.340931267,2.45141104,2.370849864,2.478876185,2.598486803,2.313688024,2.250084031,2.085874268,2.085874268
ERI,Eritrea,Low,SSA,176,,,,,0.335295682,0.373279098,0.409057467,0.368293428,0.265664204,0.275073132,0.263665059,0.263757189,0.242086239,0.273155469,0.28274842,0.272034936,0.188112213,0.188003748,0.133656395,0.159398318,0.156868064,0.172941768,0.186012738,0.189187764,0.190671818,0.189788974,0.191147373,0.206349862,0.233046589,0.238728072,0.203678582,0.203678582
ESP,Spain,Very High,,27,5.897431352,6.130736238,6.339151671,6.101347647,6.396559724,6.722182708,6.386616098,6.679608914,6.867017101,7.404380777,7.627347859,7.58345463,7.954446591,7.927911275,8.188070913,8.398197756,8.06425603,8.112557693,7.310097497,6.383905998,6.04872279,6.047235763,5.927449256,5.385107847,5.452740796,5.821362504,5.591568752,5.887612925,5.776330933,5.38116921,4.468313378,4.468313378
EST,Estonia,Very High,,31,24.05359924,21.8465863,16.01465795,13.03958641,13.75094109,12.70941729,13.49651839,13.22654261,12.02894872,11.33482311,11.06787734,11.40041531,11.1004157,12.5534176,12.73705324,12.65535006,12.22969653,14.89381803,13.33912406,10.84388928,14.25965449,14.37882849,13.48764585,14.96358776,14.34743599,12.05740026,13.34384091,14.24029286,13.56431228,9.339055315,7.879475476,7.879475476
ETH,Ethiopia,Low,SSA,175,0.062364442,0.059635191,0.057108037,0.056169776,0.039818055,0.043927991,0.047452997,0.049099268,0.050352177,0.048090692,0.052290075,0.062568018,0.063181749,0.067481787,0.069485916,0.064916038,0.067757088,0.072384843,0.077398594,0.075713994,0.072306054,0.082122319,0.087447036,0.102541471,0.122499516,0.12588429,0.138483789,0.143213448,0.147853391,0.146066966,0.127560389,0.127560389
FIN,Finland,Very High,,11,11.40229557,11.00398974,10.76019961,11.11012307,12.10708762,11.35767595,12.46968306,12.17435797,11.49628542,11.37804134,10.99435346,12.02507001,12.47942308,13.90023097,13.15499116,10.84770715,12.95863887,12.60262161,11.01929918,10.47056472,11.94670227,10.51320974,9.461029739,9.510621657,8.723881063,8.05059621,8.590699442,8.101813505,8.302103946,7.690672497,7.090703013,7.090703013
FJI,Fiji,High,EAP,99,1.104515265,0.900678677,0.995474627,0.984313139,0.963873204,0.973685398,1.03830257,0.987478808,0.951838202,0.960916678,1.027341351,1.285007832,1.079095304,1.270714982,1.639522657,1.317301279,1.452764323,1.363804877,1.039816126,0.911921578,1.397621357,1.23713155,1.204759389,1.269396771,1.435969406,1.490052692,1.443949386,1.552095312,1.529853998,1.563565716,1.554361952,1.554361952
FRA,France,Very High,,28,6.935243567,7.329248111,7.121596638,6.757258593,6.616511248,6.677556506,6.936538952,6.788746586,7.082060739,7.01045123,6.877919846,6.913183475,6.789080916,6.837099464,6.806631674,6.79837429,6.59678727,6.391347026,6.23688709,5.894053522,5.988844064,5.595103444,5.599557336,5.595823677,5.076611279,5.118603886,5.158359374,5.197140043,4.960291819,4.850791024,4.23807293,4.23807293
FSM,Micronesia (Federated States of),Medium,EAP,134,,,1.011845466,0.987249194,1.002169197,1.056273191,1.048550143,1.114583333,1.117385036,1.155862351,1.194018733,1.333358215,1.266654209,1.37098811,1.34021102,1.139273903,1.147469418,1.262877714,1.061587939,1.423258072,0.9968808,1.133397777,1.192084665,1.279855748,1.261750088,1.312273291,1.29655673,1.282085789,1.268643466,1.294117647,1.282352225,1.282352225
GAB,Gabon,High,SSA,112,4.723282443,4.633919632,4.904251934,4.830847037,4.137979958,4.245372581,4.271691129,4.183510932,4.235847533,3.993488189,3.800677326,3.793234197,3.526932466,3.49573053,3.440624319,3.494231415,2.897244489,2.777176035,2.741317318,2.697893084,2.945066312,2.926568663,2.877037084,2.899776619,2.822221043,2.705466898,2.709882547,2.226922114,2.245532081,2.065609582,1.931138222,1.931138222
GBR,United Kingdom,Very High,,18,10.50757503,10.620043,10.32070846,10.04535341,9.94818551,9.779803386,10.12134914,9.644299678,9.700911848,9.556338906,9.632605664,9.747491589,9.440434624,9.59466354,9.568688114,9.453996399,9.331786355,9.099909296,8.761722586,7.860986465,8.062293539,7.332702726,7.55543189,7.346229345,6.703157681,6.412680895,6.023375325,5.808181432,5.687818316,5.464367838,4.854886819,4.854886819
GEO,Georgia,Very High,ECA,63,2.947157871,2.953570713,2.880298737,1.903586457,1.190435084,0.460245244,0.836415541,0.939844875,1.079512646,0.967319153,1.031684336,0.868586977,0.787118496,0.881165974,1.011757256,1.191781421,1.455156908,1.527622552,1.281497011,1.489406223,1.514479157,1.912390955,2.03040964,1.97823944,2.214054877,2.422106549,2.506867225,2.539341774,2.524293382,2.622195701,2.498792354,2.498792354
